date,hour,stationName,lineNm,rideNope,gffNope,totalNope
2026-02-25,00,성수역,2호선,167,202,369
2026-02-25,01,성수역,2호선,0,52,52
2026-02-25,02,성수역,2호선,0,0,0
2026-02-25,03,성수역,2호선,0,0,0
2026-02-25,04,성수역,2호선,2,0,2
2026-02-25,05,성수역,2호선,182,269,451
2026-02-25,06,성수역,2호선,328,1629,1957
2026-02-25,07,성수역,2호선,907,3574,4481
2026-02-25,08,성수역,2호선,1170,12105,13275
2026-02-25,09,성수역,2호선,917,8119,9036
2026-02-25,10,성수역,2호선,885,4607,5492
2026-02-25,11,성수역,2호선,1098,3948,5046
2026-02-25,12,성수역,2호선,1440,4196,5636
2026-02-25,13,성수역,2호선,2063,4229,6292
2026-02-25,14,성수역,2호선,2729,4010,6739
2026-02-25,15,성수역,2호선,3621,3895,7516
2026-02-25,16,성수역,2호선,4831,3862,8693
2026-02-25,17,성수역,2호선,7864,3221,11085
2026-02-25,18,성수역,2호선,12744,3778,16522
2026-02-25,19,성수역,2호선,7088,2053,9141
2026-02-25,20,성수역,2호선,5316,1102,6418
2026-02-25,21,성수역,2호선,4487,697,5184
2026-02-25,22,성수역,2호선,2620,520,3140
2026-02-25,23,성수역,2호선,1028,319,1347
2026-02-25,00,뚝섬역,2호선,78,125,203
2026-02-25,01,뚝섬역,2호선,0,3,3
2026-02-25,02,뚝섬역,2호선,0,0,0
2026-02-25,03,뚝섬역,2호선,0,0,0
2026-02-25,04,뚝섬역,2호선,0,0,0
2026-02-25,05,뚝섬역,2호선,131,99,230
2026-02-25,06,뚝섬역,2호선,362,565,927
2026-02-25,07,뚝섬역,2호선,894,1898,2792
2026-02-25,08,뚝섬역,2호선,1218,6947,8165
2026-02-25,09,뚝섬역,2호선,743,4573,5316
2026-02-25,10,뚝섬역,2호선,610,1981,2591
2026-02-25,11,뚝섬역,2호선,709,1378,2087
2026-02-25,12,뚝섬역,2호선,853,1308,2161
2026-02-25,13,뚝섬역,2호선,1001,1543,2544
2026-02-25,14,뚝섬역,2호선,1225,1267,2492
2026-02-25,15,뚝섬역,2호선,1533,1251,2784
2026-02-25,16,뚝섬역,2호선,1945,1437,3382
2026-02-25,17,뚝섬역,2호선,3620,1525,5145
2026-02-25,18,뚝섬역,2호선,5959,1980,7939
2026-02-25,19,뚝섬역,2호선,3227,1339,4566
2026-02-25,20,뚝섬역,2호선,2160,711,2871
2026-02-25,21,뚝섬역,2호선,1683,576,2259
2026-02-25,22,뚝섬역,2호선,1000,483,1483
2026-02-25,23,뚝섬역,2호선,395,272,667
2026-02-25,00,건대입구역,2호선,360,448,808
2026-02-25,01,건대입구역,2호선,1,52,53
2026-02-25,02,건대입구역,2호선,0,1,1
2026-02-25,03,건대입구역,2호선,0,0,0
2026-02-25,04,건대입구역,2호선,14,3,17
2026-02-25,05,건대입구역,2호선,448,75,523
2026-02-25,06,건대입구역,2호선,797,517,1314
2026-02-25,07,건대입구역,2호선,2320,911,3231
2026-02-25,08,건대입구역,2호선,3883,2474,6357
2026-02-25,09,건대입구역,2호선,2521,1861,4382
2026-02-25,10,건대입구역,2호선,1490,1605,3095
2026-02-25,11,건대입구역,2호선,1308,1630,2938
2026-02-25,12,건대입구역,2호선,1511,1898,3409
2026-02-25,13,건대입구역,2호선,1720,1965,3685
2026-02-25,14,건대입구역,2호선,1755,1956,3711
2026-02-25,15,건대입구역,2호선,1953,2320,4273
2026-02-25,16,건대입구역,2호선,2243,2759,5002
2026-02-25,17,건대입구역,2호선,2769,3796,6565
2026-02-25,18,건대입구역,2호선,3397,6046,9443
2026-02-25,19,건대입구역,2호선,2470,4118,6588
2026-02-25,20,건대입구역,2호선,2741,2475,5216
2026-02-25,21,건대입구역,2호선,2651,2116,4767
2026-02-25,22,건대입구역,2호선,2555,1939,4494
2026-02-25,23,건대입구역,2호선,1479,1070,2549
