date,hour,stationName,lineNm,stnCd,stnNo,trnscdSeCd,trnscdSeCdNm,trnscdUserSeCd,trnscdUserSeCdNm,rideNope,gffNope,totalNope
2026-02-25,00,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,01,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,02,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,03,서울숲역,분당선,,,,전체,,전체,0,0,0
2026-02-25,04,서울숲역,분당선,,,,전체,,전체,108,1,109
2026-02-25,05,서울숲역,분당선,,,,전체,,전체,2673,575,3248
2026-02-25,06,서울숲역,분당선,,,,전체,,전체,5312,6547,11859
2026-02-25,07,서울숲역,분당선,,,,전체,,전체,12913,23445,36358
2026-02-25,08,서울숲역,분당선,,,,전체,,전체,22016,46768,68784
2026-02-25,09,서울숲역,분당선,,,,전체,,전체,14907,34844,49751
2026-02-25,10,서울숲역,분당선,,,,전체,,전체,9120,22346,31466
2026-02-25,11,서울숲역,분당선,,,,전체,,전체,9526,16146,25672
2026-02-25,12,서울숲역,분당선,,,,전체,,전체,11852,16446,28298
2026-02-25,13,서울숲역,분당선,,,,전체,,전체,13760,17901,31661
2026-02-25,14,서울숲역,분당선,,,,전체,,전체,15188,16915,32103
2026-02-25,15,서울숲역,분당선,,,,전체,,전체,18471,17197,35668
2026-02-25,16,서울숲역,분당선,,,,전체,,전체,23700,17491,41191
2026-02-25,17,서울숲역,분당선,,,,전체,,전체,41571,20623,62194
2026-02-25,18,서울숲역,분당선,,,,전체,,전체,50655,26524,77179
2026-02-25,19,서울숲역,분당선,,,,전체,,전체,28955,17206,46161
2026-02-25,20,서울숲역,분당선,,,,전체,,전체,17932,9955,27887
2026-02-25,21,서울숲역,분당선,,,,전체,,전체,13436,8008,21444
2026-02-25,22,서울숲역,분당선,,,,전체,,전체,7953,7463,15416
2026-02-25,23,서울숲역,분당선,,,,전체,,전체,2336,3610,5946
