date,hour,stationName,lineNm,stnCd,stnNo,trnscdSeCd,trnscdSeCdNm,trnscdUserSeCd,trnscdUserSeCdNm,rideNope,gffNope,totalNope
2026-02-25,23,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,1,0,1
2026-02-25,23,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,0,1,1
2026-02-25,23,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,0,0,0
2026-02-25,23,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,1,2
2026-02-25,23,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,1,0,1
2026-02-25,23,성수역,2호선,0211,211,B,정기권카드,01,일반,0,1,1
2026-02-25,23,성수역,2호선,0211,211,2,후불카드,100,우대권,0,4,4
2026-02-25,23,성수역,2호선,0211,211,2,후불카드,04,청소년,5,1,6
2026-02-25,23,성수역,2호선,0211,211,2,후불카드,01,일반,541,140,681
2026-02-25,23,성수역,2호선,0211,211,1,선불카드,99,기타,1,3,4
2026-02-25,23,성수역,2호선,0211,211,1,선불카드,100,우대권,10,19,29
2026-02-25,23,성수역,2호선,0211,211,1,선불카드,04,청소년,16,5,21
2026-02-25,23,성수역,2호선,0211,211,1,선불카드,01,일반,452,144,596
2026-02-25,22,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,4,0,4
2026-02-25,22,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,1,0,1
2026-02-25,22,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,0,1,1
2026-02-25,22,성수역,2호선,0211,211,C,1회용교통카드,11,일반,1,5,6
2026-02-25,22,성수역,2호선,0211,211,C,1회용교통카드,100,우대권,0,0,0
2026-02-25,22,성수역,2호선,0211,211,B,정기권카드,01,일반,3,0,3
2026-02-25,22,성수역,2호선,0211,211,2,후불카드,100,우대권,5,7,12
2026-02-25,22,성수역,2호선,0211,211,2,후불카드,04,청소년,24,5,29
2026-02-25,22,성수역,2호선,0211,211,2,후불카드,01,일반,1279,221,1500
2026-02-25,22,성수역,2호선,0211,211,1,선불카드,99,기타,9,5,14
2026-02-25,22,성수역,2호선,0211,211,1,선불카드,100,우대권,46,35,81
2026-02-25,22,성수역,2호선,0211,211,1,선불카드,04,청소년,47,25,72
2026-02-25,22,성수역,2호선,0211,211,1,선불카드,02,어린이,6,1,7
2026-02-25,22,성수역,2호선,0211,211,1,선불카드,01,일반,1195,215,1410
2026-02-25,21,성수역,2호선,0211,211,C,1회용교통카드,46,중국어 어린이,1,0,1
2026-02-25,21,성수역,2호선,0211,211,C,1회용교통카드,43,중국어 일반,17,0,17
2026-02-25,21,성수역,2호선,0211,211,C,1회용교통카드,42,일어 일반,5,0,5
2026-02-25,21,성수역,2호선,0211,211,C,1회용교통카드,41,영어 일반,7,0,7
2026-02-25,21,성수역,2호선,0211,211,C,1회용교통카드,12,어린이,3,0,3
