use_ym,rte_no,rte_nm,stops_id,stops_ars_no,stops_nm,hour,rideNope,gffNope,totalNope
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,00,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,01,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,02,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,03,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,04,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,05,20,41,61
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,06,43,25,68
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,07,86,27,113
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,08,153,87,240
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,09,76,118,194
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,10,58,84,142
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,11,45,86,131
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,12,32,76,108
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,13,39,105,144
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,14,40,87,127
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,15,42,92,134
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,16,48,118,166
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,17,45,107,152
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,18,47,194,241
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,19,17,175,192
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,20,18,134,152
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,21,11,137,148
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,22,23,153,176
201511,7730,7730번(은평공영차고지~이북오도청),112000087,13170,유원하나아파트,23,8,66,74
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,00,3,2,5
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,01,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,02,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,03,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,04,0,0,0
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,05,17,6,23
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,06,16,9,25
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,07,41,19,60
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,08,106,36,142
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,09,61,30,91
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,10,37,17,54
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,11,56,18,74
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,12,54,18,72
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,13,73,39,112
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,14,82,31,113
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,15,139,38,177
201511,7730,7730번(은평공영차고지~이북오도청),112000090,13173,홍지문,16,147,59,206
