storeId,storeNm,road_address,site_address,floor,category_bg,category_mi,category_sl,x,y,fam_미혼,fam_기혼,fam_유자녀,gender_f_20대,gender_f_30대,gender_f_40대,gender_f_50대,gender_f_60대,gender_m_20대,gender_m_30대,gender_m_40대,gender_m_50대,gender_m_60대,peco_개인,peco_법인,peco_외국인,times_아침,times_점심,times_오후,times_저녁,times_밤,times_심야,times_새벽,wdwe_평일,wdwe_공휴일,revfreq_평일,revfreq_공휴일,weekday_월,weekday_화,weekday_수,weekday_목,weekday_금,weekday_토,weekday_일,2018_store,2018_deli,2018_cnt,2019_store,2019_deli,2019_cnt,2020_store,2020_deli,2020_cnt,2021_store,2021_deli,2021_cnt,2022_store,2022_deli,2022_cnt,2023_store,2023_deli,2023_cnt,2024_store,2024_deli,2024_cnt,2025_store,2025_deli,2025_cnt
0132636689,성수골,서울특별시 성동구 성덕정15길 13-1,서울 성동구 성수2가1동 339-44번지 1층,,음식,한식,한정식/백반 전문점,127.0536687,37.5388803,60,0,42,0,6,25,0,11,0,27,33,0,0,103,377,0,11,463,6,0,0,0,0,26,0,36.4,9.1,4,94,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,508,0,234,6043,0,2261,8299,0,1185
0138740808,제이 컴퍼니,서울특별시 성동구 연무장길 12,서울 성동구 성수동1가 16-27번지 1층 이너프,,소매,의복,일상복 판매,127.0508144,37.5437152,721,28,418,529,391,144,0,23,0,39,0,40,0,1168,0,2157.0,0,242,494,171,260,0,0,31,45,0.0,4.8,0,0,51,43,73,67,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28512,0,2624
0086053584,(주)네이처리퍼블릭 성수역점,서울특별시 성동구 아차산로 100,서울 성동구 성수2가3동 300-1번지 211동 02호,,소매,화장품 소매,화장품 판매,127.0560905,37.5445022,191,13,368,83,89,65,66,188,0,32,13,10,23,573,0,447.0,0,198,218,133,22,0,0,23,11,7.1,1.8,5,18,6,44,21,10,18,8496,0,6044,16092,0,11315,14214,0,9440,10523,0,7664,14144,0,10024,13551,0,9455,12260,0,7533,10582,0,5178
0117987529,에르아룸,서울특별시 성동구 성수일로 48,서울 성동구 성수2가3동 301-28번지 거염빌딩 1층 103호,,서비스,헤어/이발/미용,미용실,127.049972,37.5446791,829,38,575,407,87,21,135,21,142,417,118,92,0,1443,0,640.0,0,631,457,312,41,0,0,30,68,32.4,5.4,71,44,29,13,49,76,52,0,0,0,0,0,0,7518,0,1308,20598,0,4005,23589,0,4528,23055,0,4759,21365,0,4339,22171,0,2689
0140552548,북극의 열대어,서울특별시 성동구 광나루로4가길 12-7,서울 성동구 성수2가3동 299-47번지 2층,,음식,한식,한식 요리-기타,127.0543648,37.549143,1552,36,333,1034,451,8,49,24,143,127,46,29,8,1923,52,40.0,0,692,674,367,241,0,0,52,79,11.5,9.1,13,55,73,48,94,77,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6068,0,4242
0110676418,탐라네일,서울특별시 성동구 상원길 22,서울 성동구 성수동1가 16-3번지 5층,,서비스,헤어/이발/미용,미용실,127.049136,37.5459045,255,0,791,212,42,170,170,0,0,0,170,281,0,1047,0,0,0,564,42,238,201,0,0,58,0,11.1,11.1,0,85,45,17,78,0,0,1187,0,119,7105,0,708,10044,0,967,10753,0,1162,12257,0,1070,19173,0,1186,15385,0,936,8568,0,577
0127577906,샹도르,서울특별시 성동구 뚝섬로 400,서울 성동구 성수2가1동 339-5번지 101호,,음식,제과제빵떡케익,제과제빵떡케익,127.0549986,37.5385086,1644,162,2704,514,652,509,480,459,117,680,315,445,336,4512,309,80.0,470,1496,1062,865,749,176,0,175,126,47.2,26.3,121,174,135,188,216,196,33,0,0,0,0,0,0,0,0,0,0,0,0,16408,345,16793,41801,1069,39070,47045,1950,44687,44057,1793,39597
0139361166,자담치킨,서울특별시 성동구 성덕정길 91,서울 성동구 성수2가1동 339-11번지 1층,,음식,치킨/닭강정,치킨/닭강정 전문점,127.0536455,37.5378211,337,40,439,39,102,80,115,26,54,175,94,63,64,818,47,0,0,0,293,285,198,86,0,30,23,15.4,8.3,0,24,34,23,40,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,1881,971
0140673906,스시훈,서울특별시 성동구 아차산로7길 36,서울 성동구 성수2가3동 289-39번지 1층,,음식,일식,초밥 전문점,127.055637,37.5482321,764,17,610,250,122,115,121,51,90,276,121,126,117,1392,284,0,66,474,287,391,208,190,58,51,57,21.1,15.6,7,34,65,73,54,77,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5244,0,2732
0119994424,CU 뚝섬동아점,서울특별시 성동구 상원12길 6,서울 성동구 성수1가2동 13-76번지 1층,1층,소매,편의점,편의점,127.0484008,37.5503102,2999,372,3687,296,468,448,437,160,513,1666,1401,959,707,7060,300,55.0,1215,1433,1194,868,925,1255,466,247,222,56.1,40.0,250,239,256,220,244,211,232,0,0,0,0,0,0,22573,0,34994,86997,0,125652,97523,0,133454,91081,0,123806,92340,20,122980,72844,40,97290
